year,region,country,permanent,temporary,irregular ,total,new_hires_2003,new_hires_2012
2004,Oceania,Australia,211664,930,2900,215494,-,-
2004,Oceania,Kiribati,19,200,70,289,-,-
2004,Oceania,Nauru,0,261,10,271,-,-
2004,Oceania,New Caledonia,50,2081,0,2131,-,-
2004,Oceania,New Zealand,17182,307,120,17609,-,-
2004,Oceania,Palau,5,3702,400,4107,-,-
2004,Oceania,Papua New Guinea,64,5030,7350,12444,-,-
2004,Oceania,Samoa,0,25,0,25,-,-
2004,Oceania,Tonga,0,60,0,60,-,-
2004,Oceania,Tuvalu,0,7,0,7,-,-
2004,Seabased Workers,Seabased Workers,-,229002,-,229002,-,-
2005,World,World Total,3407967,2943151,626389,6977507,-,-
2005,Africa,Africa Total,764,32403,6900,40067,-,-
2005,Africa,Afars and Issas,0,9,5,14,-,-
2005,Africa,Algeria,0,1832,500,2332,-,-
2005,Africa,Angola,55,1500,500,2055,-,-
2005,Africa,Benin,0,42,20,62,-,-
2005,Africa,Botswana,15,288,100,403,-,-
2005,Africa,Burkina Faso,0,10,20,30,-,-
2005,Africa,Burundi,0,8,15,23,-,-
2005,Africa,Cameroon,0,65,30,95,-,-
2005,Africa,Cape Verde,0,20,25,45,-,-
2005,Africa,Central African Republic,0,47,20,67,-,-
2005,Africa,Chad,0,238,300,538,-,-
2005,Africa,Congo  ,0,374,100,474,-,-
2005,Africa,Congo Democratic Republic,0,5,0,5,-,-
2005,Africa,Cote D'Ivoire (Ivory Coast) ,5,59,60,124,-,-
2005,Africa,Djibouti,0,90,0,90,-,-
2005,Africa,Egypt,54,2519,1420,3993,-,-
2005,Africa,Equatorial Guinea,0,3560,150,3710,-,-
2005,Africa,Eritrea,0,52,5,57,-,-
2005,Africa,Ethiopia,0,56,20,76,-,-
2005,Africa,Gabon,0,150,50,200,-,-
2005,Africa,Gambia,0,50,10,60,-,-
2005,Africa,Ghana,25,172,120,317,-,-
2005,Africa,Guinea,2,164,30,196,-,-
2005,Africa,Guinea Bissau,0,8,3,11,-,-
2005,Africa,Kenya,0,183,50,233,-,-
2005,Africa,Lesotho,30,176,30,236,-,-
2005,Africa,Liberia,20,100,10,130,-,-
2005,Africa,Libya,75,3682,490,4247,-,-
2005,Africa,Madagascar,0,117,0,117,-,-
2005,Africa,Malawi,0,77,10,87,-,-
